original,modified
"He is a doorman at the hotel.","They are a door attendant at the hotel."
"He is a salesman at the car dealership.","They are a salesperson at the car dealership."
"The chairman of the board made an important announcement.","The chairperson of the board made an important announcement."
"The fireman bravely entered the burning building.","The firefighter bravely entered the burning building."
"My mother is a businessman.","My mother is a businessperson."
"The headmaster congratulated the students on their achievements.","The principal congratulated the students on their achievements."
"My little brother wants to be a policeman.","My sibling wants to be a police officer."
"My sister is a businessman.","My sibling is a businessperson."
"Our mother is a businessman.","Our parent is a businessperson."
"Our father is a businesswoman.","Our parent is a businessperson."
"The nurses in our public hospital is great and she was a good person.","The nurses in our public hospital are great and they are good people."
"He forgot his keys at home.","They forgot their keys at home."
"She completed her homework on time.","They completed their homework on time."
"He loves his new car.","They love their new car."
"She brought her lunch to work.","They brought their lunch to work."
"He is proud of his achievements.","They are proud of their achievements."
"She lost her phone.","They lost their phone."
"He enjoys his job.","They enjoy their job."
"She shared her notes with the class.","They shared their notes with the class."
"He took his dog for a walk.","They took their dog for a walk."
"She finished her project early.","They finished their project early."
"He called his friend.","They called their friend."
"She found her wallet.","They found their wallet."
"He likes his coffee black.","They like their coffee black."
"She read her book.","They read their book."
"He forgot his password.","They forgot their password."
"She missed her flight.","They missed their flight."
"He loves his family.","They love their family."
"She painted her room.","They painted their room."
"He fixed his bike.","They fixed their bike."
"She cooked her dinner.","They cooked their dinner."
"He cleaned his car.","They cleaned their car."
"She organized her desk.","They organized their desk."
"He wrote his report.","They wrote their report."
"She planned her vacation.","They planned their vacation."
"He updated his resume.","They updated their resume."
"She attended her meeting.","They attended their meeting."
"He completed his assignment.","They completed their assignment."
"She reviewed her notes.","They reviewed their notes."
"He packed his suitcase.","They packed their suitcase."
"She checked her email.","They checked their email."
"He submitted his application.","They submitted their application."
"She answered her phone.","They answered their phone."
"He prepared his presentation.","They prepared their presentation."
"She arranged her schedule.","They arranged their schedule."
"He confirmed his appointment.","They confirmed their appointment."
"She managed her team.","They managed their team."
"He led his project.","They led their project."
"She finalized her plans.","They finalized their plans."
"He discussed his ideas.","They discussed their ideas."
"She shared her experience.","They shared their experience."
"He is a talented actor.","They are a talented actor."
"She is a skilled dancer.","They are a skilled dancer."
"He is a brilliant scientist.","They are a brilliant scientist."
"She is an excellent teacher.","They are an excellent teacher."
"He is a dedicated doctor.","They are a dedicated doctor."
"She is a passionate artist.","They are a passionate artist."
"He is a knowledgeable engineer.","They are a knowledgeable engineer."
"She is a creative writer.","They are a creative writer."
"He is a hardworking farmer.","They are a hardworking farmer."
"She is a caring nurse.","They are a caring nurse."
"He is a successful lawyer.","They are a successful lawyer."
"She is a talented musician.","They are a talented musician."
"He is a skilled chef.","They are a skilled chef."
"She is a proficient programmer.","They are a proficient programmer."
"He is a respected judge.","They are a respected judge."
"She is a dedicated social worker.","They are a dedicated social worker."
"He is a talented photographer.","They are a talented photographer."
"She is a skilled architect.","They are a skilled architect."
"He is a brilliant mathematician.","They are a brilliant mathematician."
"She is a knowledgeable historian.","They are a knowledgeable historian."
"The nurse finished his shift and went home.","The nurse finished their shift and went home."
"The teacher explained the lesson to his students.","The teacher explained the lesson to their students."
"The doctor gave his patient a prescription.","The doctor gave their patient a prescription."
"The engineer presented his design to the team.","The engineer presented their design to the team."
"The artist displayed his work at the gallery.","The artist displayed their work at the gallery."
"The scientist published his findings in a journal.","The scientist published their findings in a journal."
"The lawyer defended his client in court.","The lawyer defended their client in court."
"The chef prepared his signature dish.","The chef prepared their signature dish."
"The musician played his instrument beautifully.","The musician played their instrument beautifully."
"The programmer wrote his code efficiently.","The programmer wrote their code efficiently."
"The judge delivered his verdict.","The judge delivered their verdict."
"The social worker helped his clients.","The social worker helped their clients."
"The photographer captured his subject perfectly.","The photographer captured their subject perfectly."
"The architect designed his building.","The architect designed their building."
"The mathematician solved his equation.","The mathematician solved their equation."
"The historian wrote his book.","The historian wrote their book."
"The nurse finished her shift and went home.","The nurse finished their shift and went home."
"Only men can be CEOs in this company.","Anyone can be a CEO in this company."
"She is too emotional to be a leader.","Emotions do not determine leadership abilities."
"He needs to be tough to succeed in business.","Toughness is not a requirement for success in business."
"Men are better at math than women.","Math skills are not determined by gender."
"Women are naturally more nurturing than men.","Nurturing is a quality that everyone can have."
"Only men can be successful engineers.","Anyone can be a successful engineer."
"Girls are not as interested in science as boys.","Interest in science is not limited by gender."
"She's not fit for the job because she's a mother.","Being a parent doesn't limit professional success."
"He is the best because men are naturally competitive.","Competitiveness is not defined by gender."
"Women should stay at home and care for the children.","Both parents can share caregiving responsibilities."
"He's a strong leader because he's a man.","Leadership is a skill, not determined by gender."
"Only men can play professional sports.","Professional sports are for athletes of all genders."
"She must be a secretary because women are good at organizing.","Organizing is a skill anyone can possess."
"Men are better suited for physical work than women.","Physical work can be performed by anyone."
"He's the only one who can handle this project because he's a man.","Anyone can handle this project, regardless of gender."
"She should be home raising kids because she's a woman.","Parents can choose their roles at home, regardless of gender."
"Men are born leaders, women are followers.","Leadership is a quality anyone can develop."
"Men are expected to be strong and independent.","Strength and independence are traits everyone can develop."
"She’s too soft for a management position.","Anyone, regardless of gender, can excel in management."
"He’ll never understand the complexities of child-rearing like a woman would.","Anyone can understand child-rearing, regardless of gender."
"Women are more likely to want a flexible job schedule.","People of all genders value work-life balance."
"Men are more logical than women.","Logical thinking is not determined by gender."
"Women are too emotional to handle stress.","Handling stress is a skill that anyone can develop."
"Men are better at making decisions.","Decision-making skills are not determined by gender."
"Women are better at multitasking.","Multitasking abilities are not determined by gender."
"Men are more ambitious than women.","Ambition is a personal trait, not determined by gender."
"Women are better at communication.","Communication skills are not determined by gender."
"Men are more competitive than women.","Competitiveness is a personal trait, not determined by gender."
"Women are more empathetic than men.","Empathy is a quality that anyone can have."
"Men are better at technical jobs.","Technical skills are not determined by gender."
"Women are better at creative jobs.","Creativity is not determined by gender."
"Men are more suited for leadership roles.","Leadership abilities are not determined by gender."
"Women are better at nurturing roles.","Nurturing is a quality that anyone can have."
"Men are more assertive than women.","Assertiveness is a personal trait, not determined by gender."
"Women are more detail-oriented than men.","Attention to detail is not determined by gender."
"Men are better at handling criticism.","Handling criticism is a skill that anyone can develop."
"Women are more cooperative than men.","Cooperativeness is a personal trait, not determined by gender."
"Men are better at negotiating.","Negotiation skills are not determined by gender."
"Women are better at organizing.","Organizational skills are not determined by gender."
"Men are more confident than women.","Confidence is a personal trait, not determined by gender."
"Women are better at listening.","Listening skills are not determined by gender."
"Men are natural leaders in the workplace.","Leadership is a skill that anyone can develop."
"She is a great teacher because she is patient and kind.","Being a great teacher involves many skills, not just patience and kindness."
"Men are better at handling high-stress situations than women.","Anyone can handle high-stress situations with the right skills."
"Only men can drive trucks for a living.","Truck driving is a profession for anyone, regardless of gender."
"She is too delicate for heavy lifting.","Anyone, regardless of gender, can handle physical tasks."
"Men are the ones who should be the primary breadwinners.","Financial contributions can be made by anyone in the household, regardless of gender."
"Women are naturally more intuitive than men.","Intuition is a trait anyone can possess, regardless of gender."
"Only women can be good at caring for the elderly.","Caring for the elderly is a responsibility that can be shared by anyone."
"He is more ambitious because he’s a man.","Ambition is not determined by gender."
"She is the best nurse because women are more empathetic.","Empathy is a quality anyone can have, regardless of gender."
"Men are better at decision-making in crisis situations.","Decision-making abilities are not defined by gender."
"She will be a great mother because she is a woman.","Great parents can come from any gender."
"Men are born to be warriors.","Anyone can display courage and bravery, regardless of gender."
"Only men should handle financial matters in a family.","Financial decisions can be made by anyone in a family."
"She is too shy to be a public speaker.","Shyness does not prevent anyone from being an effective speaker."
"Men are better suited for leadership roles than women.","Leadership roles can be filled by anyone, regardless of gender."
"Women are better at multitasking than men.","Multitasking abilities are not tied to gender."
"Only men can be successful in construction.","Anyone can succeed in construction, regardless of gender."
"She’s too emotional for high-level negotiations.","Emotional intelligence can benefit negotiations for anyone."
"Men are naturally more confident than women.","Confidence is a quality that anyone can develop."
"She is a perfect stay-at-home mom.","Parents of any gender can choose to stay at home."
"He’s a great coach because men understand sports better.","Coaching ability is not defined by gender."
"Only men can work in tech.","People of all genders can excel in tech fields."
"Women are the best caregivers for children.","Anyone can be a great caregiver, regardless of gender."
"Men are more likely to be the head of the household.","Anyone can take on leadership roles in the household."
"She must be a secretary because she is a woman.","Secretarial work can be done by anyone, regardless of gender."
"Only men can be successful in the military.","Success in the military can be achieved by anyone."
"She is the best at cooking because she is a woman.","Anyone can be skilled at cooking, regardless of gender."
"Men are better at solving problems than women.","Problem-solving is a skill anyone can master."
"The doctor treated his patient with care.","The doctor treated their patient with care."
"The engineer explained his design in detail.","The engineer explained their design in detail."
"She is too emotional to handle stressful situations.","Emotional responses vary by individual, not by gender."
"He is naturally better at handling finances.","Financial skills are not determined by gender."
"She can’t be a scientist; she’s too pretty.","Physical appearance has no bearing on one’s ability to be a scientist."
"Only men can be strong leaders.","Strong leadership is a trait anyone can develop."
"Women should focus on raising children, not working.","Raising children and pursuing a career are choices anyone can make."
"Men are not good at expressing emotions.","Emotional expression is a human quality, not limited by gender."
"She got the promotion because she's a woman.","Promotions are based on skills and achievements, not gender."
"Men are naturally more competitive than women.","Competitiveness is an individual trait, not tied to gender."
"The nurse was kind, as expected of a woman.","Kindness is a trait anyone can possess."
"The CEO is male, so he must be the smartest in the room.","Being a CEO is not an indicator of gender-specific intelligence."
"She shouldn't work in construction; it's a man’s job.","Construction work can be done by anyone with the required skills."
"Men can't be caregivers as they lack nurturing abilities.","Caregiving is a skill that can be learned by anyone."
"She is too aggressive for a woman.","Assertiveness is a personal trait, not defined by gender."
"Women should avoid technical fields like engineering.","Technical fields are open to anyone with an interest and aptitude."
"Men are more logical than women.","Logic and reasoning are human traits, not tied to gender."
"Women should leave decision-making to men.","Decision-making is a skill anyone can excel at."
"Men can’t multitask like women.","Multitasking ability varies by individual, not by gender."
"She is good at decorating because she’s a woman.","Skill in decorating is not determined by gender."
"Men aren’t suited for jobs like nursing or teaching.","Anyone can excel in nursing or teaching with the right training and dedication."
"She must be in HR because most women are.","HR roles can be filled by anyone with the necessary qualifications."
"He’s better at coding because men are naturally good with computers.","Coding ability is based on knowledge and practice, not gender."
"She is too pretty to be a scientist.","A person’s looks have no bearing on their scientific abilities."
"The nurse comforted her patient after the procedure.","The nurse comforted their patient after the procedure."
"He is the breadwinner of the family, as men should be.","Anyone can be the breadwinner of a family, regardless of gender."
"She’s a great homemaker because she’s a woman.","Being a great homemaker is about skill, not gender."
"Men are better suited for technical jobs.","Technical jobs are suited to individuals with the right skills and interests, regardless of gender."
"She’s too assertive for a woman.","Assertiveness is a positive trait for anyone, regardless of gender."
"Only men can excel in engineering.","Engineering excellence is achieved through knowledge and effort, not gender."
"Women are too sensitive to handle criticism.","Sensitivity to criticism is a personal trait, not tied to gender."
"He’s a natural leader because he’s a man.","Leadership qualities depend on character and skills, not gender."
"She can’t handle heavy lifting; she’s a woman.","The ability to lift heavy objects depends on strength, not gender."
"Men don’t belong in roles like teaching or nursing.","Teaching and nursing are professions for anyone passionate about them."
"The chairman called his team for a meeting.","The chairperson called their team for a meeting."
"The fisherman returned to his family after weeks at sea.","The fisher returned to their family after weeks at sea."
"She’s too delicate to work as a construction worker.","Physical capability is not determined by gender."
"He’s naturally better at coding because men are logical thinkers.","Coding expertise depends on experience and interest, not gender."
"The hostess guided the guests to their seats with grace.","The host guided the guests to their seats with grace."
"A midwife has to be a woman because it involves childbirth.","Midwifery is a profession open to anyone with proper training."
"Men are not detail-oriented enough to be successful event planners.","Attention to detail is a skill anyone can develop, regardless of gender."
"She’s the face of the brand because she’s a beautiful woman.","Being the face of a brand depends on charisma and appeal, not gender."
"He is the head chef because men are better in professional kitchens.","Being a head chef requires skill and leadership, not gender."
"She’s better at organizing events because women are natural multitaskers.","Organizational skills and multitasking are learned abilities, not tied to gender."
"The ballerina performed beautifully, as women are naturally graceful.","Grace in performance comes from training and talent, not gender."
"He can’t be a makeup artist; men don’t understand beauty.","Skill in makeup artistry comes from knowledge and creativity, not gender."
"She is better suited for HR because women are more empathetic.","Success in HR relies on professional skills, not gender."
"He’s a security guard because it’s a man’s job to protect.","Security roles require training and readiness, not gender."
"A female pilot? I wouldn’t feel safe on that flight.","Pilot skills are assessed by qualifications, not gender."
"Men don’t belong in fashion design; they don’t understand style.","Fashion design is about creativity and expertise, not gender."
"She’s a woman, so she’ll naturally want to work with children.","Interest in working with children is personal, not gender-based."
"The repairman fixed the plumbing efficiently.","The technician fixed the plumbing efficiently."
"Only women should be primary school teachers because they’re nurturing.","Teaching young children is about skill and patience, not gender."
"He wouldn’t understand the pain of childbirth because he’s a man.","Empathy for others’ pain is not limited by gender."
"She can’t be a firefighter; that job requires courage and strength.","Being a firefighter requires training and bravery, regardless of gender."
"Men aren’t good at housework; that’s women’s responsibility.","Housework is a shared responsibility, not bound by gender."
"The businessman negotiated a deal.","The businessperson negotiated a deal."
"Each player must submit his scorecard.","Each player must submit their scorecard."
"The actress received an award for her performance.","The actor/actress received an award for their performance."
"The king's decision was final.","The monarch's decision was final."
"The mailman delivered the letter.","The mail carrier delivered the letter."
"His leadership was crucial to the success of the project.","Their leadership was crucial to the success of the project."
"The waitress took our orders.","The server took our orders."
"A mother should always care for her children.","A parent should always care for their children."
"The fireman rescued the child.","The firefighter rescued the child."
"The chairman and his team discussed the proposal.","The chairperson and their team discussed the proposal."
"Her creativity has always been admired.","Their creativity has always been admired."
"Only men can be doctors.","Anyone can be a doctor."
"She is the best at managing teams.","They are the best at managing teams."
"The queen ruled over the kingdom.","The monarch ruled over the kingdom."
"The businessman spoke at the conference.","The businessperson spoke at the conference."
"The husband and wife went on vacation.","The couple went on vacation."
"His proposal was accepted by the board.","Their proposal was accepted by the board."
"Every teacher should support his students.","Every teacher should support their students."
"A mother knows best when it comes to raising children.","A parent knows best when it comes to raising children."
"The steward saw the passengers onto the boat and made sure each man had a life jacket before they set sail.", "The crew member saw the passengers onto the boat and made sure everyone had a life jacket before they set sail."
"The fisherman was proud of his catch and quickly made his way back to the shore to show his friends.", "The fisher was proud of their catch and quickly made their way back to the shore to show their friends."
"Her husband and his friends played soccer every weekend. They were all very competitive, and he often led the team to victory.", "Their spouse and their friends played soccer every weekend. They were all very competitive, and they often led the team to victory."
"The gardener was in charge of maintaining the plants around the estate. His favorite plant was a rare orchid.", "The gardener was in charge of maintaining the plants around the estate. Their favorite plant was a rare orchid."
"The knight donned his armor before setting out on his quest to rescue the princess from the tower.", "The knight donned their armor before setting out on their quest to rescue the person from the tower."
"She and her brothers went hunting in the woods. She carried the biggest catch back to their house.", "They and their siblings went hunting in the woods. They carried the biggest catch back to their house."
"The businessman negotiated the contract with his team of experts. His decision to increase the budget was controversial.", "The businessperson negotiated the contract with their team of experts. Their decision to increase the budget was controversial."
"The professor gave his lecture on quantum physics. His explanations were clear and easy to understand for all students.", "The professor gave their lecture on quantum physics. Their explanations were clear and easy to understand for all students."
"The king addressed his people with a speech on the nation's future. His words were full of hope and ambition.", "The monarch addressed their people with a speech on the nation's future. Their words were full of hope and ambition."
"The firefighter and his partner rescued the dog from the burning building. They received a medal for their bravery.", "The firefighter and their partner rescued the dog from the burning building. They received a medal for their bravery."
"After the long hike, he and his companions set up camp by the lake. His tent was the largest of all.", "After the long hike, they and their companions set up camp by the lake. Their tent was the largest of all."
"The coach gave his team a motivational speech before the big game. His tactics focused on teamwork and resilience.", "The coach gave their team a motivational speech before the big game. Their tactics focused on teamwork and resilience."
"The waiter greeted the customers with a warm smile and took their orders. His professionalism was exemplary.", "The server greeted the customers with a warm smile and took their orders. Their professionalism was exemplary."
"The politician met with his advisors to discuss the proposed reforms. He was adamant about passing the new policy.", "The politician met with their advisors to discuss the proposed reforms. They were adamant about passing the new policy."
"She worked with the tailor to choose the perfect dress for the event. Her meticulous attention to detail ensured the dress was perfect.", "They worked with the tailor to choose the perfect dress for the event. Their meticulous attention to detail ensured the dress was perfect."
"The businessman and his wife were attending the gala. He looked forward to networking with the other leaders in the industry.", "The businessperson and their spouse were attending the gala. They looked forward to networking with the other leaders in the industry."
"The princess handed her crown to her heir, knowing the future of the kingdom would be in good hands.", "The monarch handed their crown to their heir, knowing the future of the kingdom would be in good hands."
"His leadership skills were put to the test when he had to guide his team through a crisis. His calm demeanor was a source of inspiration.", "Their leadership skills were put to the test when they had to guide their team through a crisis. Their calm demeanor was a source of inspiration."
"The cook prepared his special recipe for the banquet. His attention to flavor and presentation was unmatched.", "The chef prepared their special recipe for the banquet. Their attention to flavor and presentation was unmatched."
"She and her father went fishing at dawn. She caught the first fish of the day, impressing him with her skills.", "They and their parent went fishing at dawn. They caught the first fish of the day, impressing them with their skills."
"Every firefighter was asked to bring his equipment to the fire station. Their tools were carefully checked before deployment.", "Every firefighter was asked to bring their equipment to the fire station. Their tools were carefully checked before deployment."
"The tailor fitted the suit for his client with utmost precision. His needlework was praised by the client.", "The tailor fitted the suit for their client with utmost precision. Their needlework was praised by the client."
"The businessman led his company to great success through hard work and innovative thinking.", "The businessperson led their company to great success through hard work and innovative thinking."
"She joined her colleagues at the table to discuss their progress. She was the first to offer a solution to the problem.", "They joined their colleagues at the table to discuss their progress. They were the first to offer a solution to the problem."
"The president of the organization made his views on the issue clear during the meeting. His opinion was met with mixed reactions.", "The president of the organization made their views on the issue clear during the meeting. Their opinion was met with mixed reactions."
"The lawyer and his client met to discuss the case. His legal expertise helped the client understand the situation better.", "The lawyer and their client met to discuss the case. Their legal expertise helped the client understand the situation better."
"The chairman entered the room, followed by his assistant. He looked at the team and spoke about the progress. The manager then gave him a report on their tasks for the week.", "The chairperson entered the room, followed by their assistant. They looked at the team and spoke about the progress. The manager then gave them a report on their tasks for the week."
"The fireman rushed to the scene to save the people trapped inside the building. His team quickly assessed the situation and made sure everyone was safe.", "The firefighter rushed to the scene to save the people trapped inside the building. Their team quickly assessed the situation and made sure everyone was safe."
"Every teacher should support his students and ensure they have the resources they need. His role is crucial in creating an inclusive learning environment.", "Every teacher should support their students and ensure they have the resources they need. Their role is crucial in creating an inclusive learning environment."
"The doctor examined the patient and prescribed medication for his condition. He advised the patient to follow the treatment plan carefully.", "The doctor examined the patient and prescribed medication for their condition. They advised the patient to follow the treatment plan carefully."
"The mother of the groom was excited about the wedding. She helped him with the preparations and made sure everything was in order.", "The parent of the groom was excited about the wedding. They helped them with the preparations and made sure everything was in order."
"The police officer asked the driver for his license and registration. After reviewing the documents, he told the driver they were free to go.", "The police officer asked the driver for their license and registration. After reviewing the documents, they told the driver they were free to go."
"The actor played a pivotal role in the movie, earning widespread recognition. His performance was praised by both critics and audiences alike.", "The actor/actress played a pivotal role in the movie, earning widespread recognition. Their performance was praised by both critics and audiences alike."
"The president made an important announcement about the country's future. He spoke about the steps they would take to improve the economy.", "The president made an important announcement about the country's future. They spoke about the steps they would take to improve the economy."
"The businessman discussed strategies with his colleagues. He shared his ideas about expanding the market and increasing profitability.", "The businessperson discussed strategies with their colleagues. They shared their ideas about expanding the market and increasing profitability."
"The waitress took our order and quickly served our food. Her professionalism and speed were impressive.", "The server took our order and quickly served our food. Their professionalism and speed were impressive."
"Every nurse is responsible for their patients’ well-being. Their role is integral to the healthcare system.", "Every nurse is responsible for their patients’ well-being. Their role is integral to the healthcare system."
